feature,d_gpt41,sig_gpt41,d_gpt4omini,sig_gpt4omini
word_count,-1.0800197261395048,True,-1.4072334309551002,True
sentence_count,-0.06404958063960163,False,-0.8526834143714807,True
avg_word_length,-0.09303885648093274,False,0.09300164863264779,False
avg_sentence_length,-1.0421114388129022,True,-0.8739582868404187,True
type_token_ratio,-0.2898064408094267,True,-0.14793669288356548,False
hapax_ratio,-0.24866280722781028,True,-0.18322335679993745,False
hedge_ratio,-0.49573061958171766,True,-1.0837624331593065,True
certainty_ratio,0.1432207768090516,False,-0.12444354932384356,False
negation_ratio,-1.229018656186359,True,-0.32069414905607796,False
exclamation_count,-0.5428255930919551,True,-1.2002684961985888,True
question_count,0.0,False,-0.1178511301977579,False
comma_count,-0.09696656827199654,False,-0.4442199791233933,True
punctuation_ratio,0.2270794027910113,True,0.24640548031614412,False
upper_ratio,0.733488336682092,True,0.6627284542762039,True
bigram_diversity,-0.12555327297622842,False,-0.17147266630170993,False
